Código;Nome;Valor
1700251;Abreulândia;69.883
1700301;Aguiarnópolis;8.226
1700350;Aliança do Tocantins;50.292
1700400;Almas;29.279
1700707;Alvorada;44.325
1701002;Ananás;80.768
1701051;Angico;15.967
1701101;Aparecida do Rio Negro;17.273
1701309;Aragominas;65.609
1701903;Araguacema;61.024
1702158;Araguanã;45.374
1702208;Araguatins;119.465
1702000;Araguaçu;281.253
1702109;Araguaína;183.378
1702307;Arapoema;94.595
1702406;Arraias;124.320
1702554;Augustinópolis;33.330
1702703;Aurora do Tocantins;22.997
1702901;Axixá do Tocantins;9.057
1703008;Babaçulândia;47.995
1703057;Bandeirantes do Tocantins;109.276
1703073;Barra do Ouro;13.798
1703107;Barrolândia;37.615
1703206;Bernardo Sayão;76.614
1703305;Bom Jesus do Tocantins;17.061
1703602;Brasilândia do Tocantins;36.673
1703701;Brejinho de Nazaré;36.676
1703800;Buriti do Tocantins;23.496
1703826;Cachoeirinha;6.480
1703842;Campos Lindos;22.037
1703867;Cariri do Tocantins;59.904
1703883;Carmolândia;31.973
1703891;Carrasco Bonito;14.847
1703909;Caseara;29.042
1704105;Centenário;14.422
1705102;Chapada da Natividade;21.847
1704600;Chapada de Areia;28.952
1705508;Colinas do Tocantins;81.727
1716703;Colméia;71.984
1705557;Combinado;13.483
1705607;Conceição do Tocantins;21.850
1706001;Couto Magalhães;52.578
1706100;Cristalândia;56.697
1706258;Crixás do Tocantins;36.049
1706506;Darcinópolis;14.233
1707009;Dianópolis;25.774
1707108;Divinópolis do Tocantins;80.570
1707207;Dois Irmãos do Tocantins;127.335
1707306;Dueré;99.906
1707405;Esperantina;20.024
1707652;Figueirópolis;85.761
1707702;Filadélfia;55.474
1708205;Formoso do Araguaia;202.850
1708254;Fortaleza do Tabocão;24.370
1707553;Fátima;13.631
1708304;Goianorte;66.814
1709005;Goiatins;41.387
1709302;Guaraí;69.448
1709500;Gurupi;72.466
1709807;Ipueiras;11.101
1710508;Itacajá;58.203
1710706;Itaguatins;31.329
1710904;Itapiratins;42.148
1711100;Itaporã do Tocantins;92.758
1711506;Jaú do Tocantins;66.604
1711803;Juarina;23.609
1711902;Lagoa da Confusão;87.050
1711951;Lagoa do Tocantins;10.865
1712009;Lajeado;3.319
1712157;Lavandeira;16.940
1712405;Lizarda;16.527
1712454;Luzinópolis;6.667
1712504;Marianópolis do Tocantins;78.641
1712702;Mateiros;3.197
1712801;Maurilândia do Tocantins;12.416
1713205;Miracema do Tocantins;98.836
1713304;Miranorte;45.753
1713700;Monte Santo do Tocantins;45.113
1713601;Monte do Carmo;47.416
1713957;Muricilândia;57.655
1714203;Natividade;39.230
1714302;Nazaré;7.930
1714880;Nova Olinda;66.490
1715002;Nova Rosalândia;18.569
1715101;Novo Acordo;11.649
1715150;Novo Alegre;16.547
1715259;Novo Jardim;9.924
1715507;Oliveira de Fátima;4.752
1721000;Palmas;17.458
1715705;Palmeirante;48.227
1713809;Palmeiras do Tocantins;26.066
1715754;Palmeirópolis;48.425
1716208;Paranã;73.043
1716109;Paraíso do Tocantins;57.941
1716307;Pau d`Arco;101.351
1716505;Pedro Afonso;18.095
1716604;Peixe;149.654
1716653;Pequizeiro;101.422
1717008;Pindorama do Tocantins;53.686
1717206;Piraquê;69.963
1717503;Pium;162.498
1717800;Ponte Alta do Bom Jesus;17.841
1717909;Ponte Alta do Tocantins;42.659
1718006;Porto Alegre do Tocantins;6.625
1718204;Porto Nacional;91.816
1718303;Praia Norte;12.434
1718402;Presidente Kennedy;31.951
1718451;Pugmil;17.651
1718501;Recursolândia;26.841
1718550;Riachinho;32.541
1718758;Rio Sono;45.431
1718659;Rio da Conceição;544
1718709;Rio dos Bois;16.570
1718808;Sampaio;8.234
1718840;Sandolândia;108.970
1718865;Santa Fé do Araguaia;85.478
1718881;Santa Maria do Tocantins;21.899
1718899;Santa Rita do Tocantins;70.172
1718907;Santa Rosa do Tocantins;38.381
1719004;Santa Tereza do Tocantins;13.290
1720002;Santa Terezinha do Tocantins;7.088
1720655;Silvanópolis;30.671
1720853;Sucupira;37.057
1720101;São Bento do Tocantins;25.830
1720150;São Félix do Tocantins;2.581
1720200;São Miguel do Tocantins;18.544
1720259;São Salvador do Tocantins;17.813
1720309;São Sebastião do Tocantins;14.809
1720499;São Valério;34.891
1720804;Sítio Novo do Tocantins;24.895
1720903;Taguatinga;45.909
1720937;Taipas do Tocantins;11.962
1720978;Talismã;80.168
1721208;Tocantinópolis;15.100
1721109;Tocantínia;10.407
1721257;Tupirama;7.391
1721307;Tupiratins;11.323
1722081;Wanderlândia;19.468
1722107;Xambioá;93.701
Fonte: IBGE, Censo Agropecuário 2017;;
